Year,SteelPrice
1850,58.3065493962076
1851,60.0801621965797
1852,62.0870526324955
1853,67.4388098545769
1854,63.6951154392191
1855,44.2772404061832
1856,43.5085274891677
1857,42.2742430213899
1858,44.817054631699
1859,44.3722203425506
1860,44.3722203425506
1861,43.2624745930732
1862,43.0720399196642
1863,53.0040419697038
1864,53.8935656697716
1865,45.8610683799766
1866,52.2865637369822
1867,56.115077818142
1868,52.6502095360546
1869,51.4244044958009
1870,50.2754932080166
1871,48.557553984583
1872,48.3044303321872
1873,52.4041606608176
1874,53.7050129930847
1875,53.7522984147647
1876,55.0456645941383
1877,56.3472369589258
1878,59.1442042536811
1879,56.8326731267359
1880,50.0505408014634
1881,50.5041710806307
1882,50.5041710806307
1883,51.5444217723018
1884,52.6284264362829
1885,53.138585121396
1886,58.9593078172431
1887,59.6245605476261
1888,63.9811669630466
1889,66.1329999326558
1890,66.8828071881281
1891,66.8828071881281
1892,62.8052778760661
1893,63.5255218884064
1894,66.4199701279261
1895,68.0519104259095
1896,68.0519104259095
1897,62.2554927227218
1898,59.7401192793795
1899,122.624455362937
1900,100
1901,88.3555448350721
1902,95.7832491770559
1903,92.4643020978207
1904,77.9182830369288
1905,87.7225430158811
1906,87.5505726822041
1907,88.7973764411506
1908,83.8871403503886
1909,75.0933085449501
1910,78.500954269259
1911,69.168672992494
1912,67.2327210255055
1913,72.6785714285714
1914,60.0029485478402
1915,68.0003060951191
1916,117.844300191472
1917,137.637232197362
1918,97.0222629152129
1919,71.016407568305
1920,75.4348445965213
1921,53.3835316978382
1922,51.2524213231999
1923,69.0114144534562
1924,65.0466746576586
1925,58.8364932520293
1926,56.8431764747166
1927,53.5570359404556
1928,55.1928439082936
1929,56.6685883978201
1930,52.3754974523004
1931,54.111083469615
1932,58.4796704346007
1933,63.9789893413082
1934,68.3433915177267
1935,66.2827466716127
1936,70.0384501626738
1937,84.4997318292704
1938,84.3248151854317
1939,79.7150637886857
1940,77.4781634740109
1941,73.7962412451034
1942,66.6882597264032
1943,62.8334470254551
1944,61.7624223602484
1945,62.0752242926156
1946,63.9103097961182
1947,61.557966380667
1948,64.8784589670044
1949,71.0157948878211
1950,72.8570396813933
1951,72.004743256877
1952,71.9823139277819
1953,76.5472804318802
1954,79.3746302868974
1955,84.390872951447
1956,89.4734436629052
1957,94.2929955981157
1958,93.5306650172246
1959,98.4825635389242
1960,96.9531246723508
1961,95.9810010960906
1962,94.9025628815278
1963,94.7774969471502
1964,96.6209818989037
1965,94.9983861952783
1966,91.7413883499233
1967,89.6135678952654
1968,89.2046833725994
1969,90.4464359818221
1970,90.8604179593299
1971,98.4721202187636
1972,86.1375661375661
1973,95.3170915747333
1974,110.48572612133
1975,107.334591566454
1976,100.514216773895
1977,105.772677570989
1978,108.606512882342
1979,97.6066800356392
1980,99.424120007419
1981,94.2455905949085
1982,90.272712644418
1983,102.793160218514
1984,107.443970851093
1985,113.240896811286
1986,111.174457088453
1987,76.1945586562856
1988,73.7229803163869
1989,79.9158485273492
1990,79.0298773446374
1991,76.4695688656616
1992,62.9915487221261
1993,64.51958993316
1994,64.6486617882499
1995,62.8670057547154
1996,61.0639367560142
1997,62.2143534374335
1998,58.1583660404679
1999,49.5978496954435
2000,58.3378204820957
2001,41.5161783077346
2002,46.5602755222991
2003,59.095042177271
2004,90.3317342204121
2005,110.120035519082
2006,101.064111550793
2007,90.0773985462838
2008,139.32107899277
2009,108.158478656335
2010,111.44118876634
2011,119.512108445109
2012,111.998349731018
2013,103.395353290473
2014,105.309495344769
2015,94.1473769064773
2016,82.6272495222557
2017,87.8874992048292
2018,98.7544727482588
2019,96.5253659313223
2020,87.1044169767866
