year,Petroleum
1860,500
1861,468.634678656744
1862,306.509112689313
1863,354.506924977356
1864,412.828290279489
1865,424.066780273064
1866,331.158944202677
1867,261.725332501788
1868,217.634171818066
1869,221.715607972185
1870,186.151762828263
1871,174.475111234705
1872,166.355447494213
1873,130.5625023973
1874,96.715049733198
1875,100.684448886398
1876,154.133616541104
1877,132.114281330652
1878,93.1402581059272
1879,70.6438154309109
1880,77.6128650625373
1881,72.4876502538419
1882,65.3325985033264
1883,66.2221097019346
1884,70.7515886912553
1885,69.6561988284551
1886,63.683942196983
1887,59.9355996901836
1888,67.4774816076672
1889,66.7071534390479
1890,59.1730796879375
1891,45.7067439508247
1892,37.9684910671722
1893,44.1794399485667
1894,60.5496915037492
1895,100.437422962451
1896,87.1824549800078
1897,58.9267234461729
1898,68.2740358275364
1899,96.8455829860708
1900,100
1901,88.3651738177263
1902,89.2759874414151
1903,112.116237006861
1904,113.495360494537
1905,97.6871527175564
1906,110.28653141615
1907,114.596288839044
1908,120.13048878425
1909,113.529520076477
1910,87.8600785768721
1911,84.9731696093741
1912,101.531252218777
1913,145.427790137189
1914,114.65554549201
1915,94.2183078163508
1916,174.222402502363
1917,209.020596641441
1918,215.304890929423
1919,196.268172085876
1920,253.386441799382
1921,129.877393255075
1922,146.289888121898
1923,133.325253014969
1924,139.173480605481
1925,158.374615389984
1926,177.661306033697
1927,115.313951470418
1928,113.143812252961
1929,117.143846019479
1930,104.62723052227
1931,60.4158556563541
1932,92.7987335855522
1933,74.1135555280902
1934,109.656318820763
1935,106.94086737145
1936,116.531595953175
1937,124.743989762689
1938,121.923973565771
1939,107.823187270714
1940,106.747260954399
1941,112.473163589022
1942,105.393177149798
1943,99.3010859850701
1944,97.6084538375973
1945,95.4393770856507
1946,104.824762644266
1947,126.192138285552
1948,156.707896185869
1949,158.219125373406
1950,156.707896185869
1951,145.247349505609
1952,142.129044826958
1953,149.071138232512
1954,154.040203400604
1955,154.615409537275
1956,152.339980405012
1957,159.826292090877
1958,155.274725105658
1959,149.674764370105
1960,147.22638027548
1961,145.750179938494
1962,144.112537467275
1963,142.418203257993
1964,139.353462166757
1965,135.850141898265
1966,133.025878689062
1967,133.421699426509
1968,129.530896398297
1969,127.430017232734
1970,121.980138132655
1971,123.59655768265
1972,121.100971077648
1973,148.976928495729
1974,365.38785464941
1975,345.620939230811
1976,343.436664005942
1977,347.855754225808
1978,322.798953077101
1979,433.674333538268
1980,602.329582571447
1981,587.852113257555
1982,505.206130012046
1983,454.351683213359
1984,420.690737367887
1985,383.892795639345
1986,204.762506169094
1987,250.924493154371
1988,200.813624951408
1989,235.128738393006
1990,278.808759536005
1991,234.686561049603
1992,218.062961543959
1993,191.131505787095
1994,172.312623692647
1995,179.336276886209
1996,209.287384858815
1997,188.424361802646
1998,130.97962605537
1999,171.835362081151
2000,262.079681134538
2001,217.753292841923
2002,215.803905769094
2003,251.539652037857
2004,326.429469297622
2005,430.016616294375
2006,487.413094550373
2007,518.711007367783
2008,688.009883596193
2009,427.576775374471
2010,541.935721775817
2011,628.736786508793
2012,610.199672866534
2013,625.558351185332
2014,585.214273466085
2015,305.775321072622
2016,267.735145353293
2017,309.006162635129
2018,384.079772118013
2019,331.790984205868
2020,225.981625127085
